Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del municipio;Año;Total
Total Nacional;;;Total;2023;48.085.361
Total Nacional;01 Andalucía;04 Almería;Total;2023;753.364
Total Nacional;01 Andalucía;11 Cádiz;Total;2023;1.254.866
Total Nacional;01 Andalucía;14 Córdoba;Total;2023;775.002
Total Nacional;01 Andalucía;18 Granada;Total;2023;934.072
Total Nacional;01 Andalucía;21 Huelva;Total;2023;534.084
Total Nacional;01 Andalucía;23 Jaén;Total;2023;620.637
Total Nacional;01 Andalucía;29 Málaga;Total;2023;1.752.728
Total Nacional;01 Andalucía;41 Sevilla;Total;2023;1.959.394
Total Nacional;02 Aragón;22 Huesca;Total;2023;226.878
Total Nacional;02 Aragón;44 Teruel;Total;2023;135.046
Total Nacional;02 Aragón;50 Zaragoza;Total;2023;979.365
Total Nacional;03 Asturias, Principado de;33 Asturias;Total;2023;1.006.060
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;2023;1.209.906
Total Nacional;05 Canarias;35 Palmas, Las;Total;2023;1.145.843
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total;2023;1.067.173
Total Nacional;06 Cantabria;39 Cantabria;Total;2023;588.387
Total Nacional;07 Castilla y León;05 Ávila;Total;2023;159.764
Total Nacional;07 Castilla y León;09 Burgos;Total;2023;357.370
Total Nacional;07 Castilla y León;24 León;Total;2023;448.573
Total Nacional;07 Castilla y León;34 Palencia;Total;2023;157.787
Total Nacional;07 Castilla y León;37 Salamanca;Total;2023;327.089
Total Nacional;07 Castilla y León;40 Segovia;Total;2023;155.332
Total Nacional;07 Castilla y León;42 Soria;Total;2023;89.528
Total Nacional;07 Castilla y León;47 Valladolid;Total;2023;521.333
Total Nacional;07 Castilla y León;49 Zamora;Total;2023;166.927
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total;2023;387.529
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total;2023;491.927
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;2023;198.436
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total;2023;275.082
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total;2023;731.112
Total Nacional;09 Cataluña;08 Barcelona;Total;2023;5.797.356
Total Nacional;09 Cataluña;17 Girona;Total;2023;808.672
Total Nacional;09 Cataluña;25 Lleida;Total;2023;447.343
Total Nacional;09 Cataluña;43 Tarragona;Total;2023;848.592
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total;2023;1.955.268
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total;2023;604.086
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total;2023;2.656.841
Total Nacional;11 Extremadura;06 Badajoz;Total;2023;666.049
Total Nacional;11 Extremadura;10 Cáceres;Total;2023;388.257
Total Nacional;12 Galicia;15 Coruña, A;Total;2023;1.123.884
Total Nacional;12 Galicia;27 Lugo;Total;2023;324.267
Total Nacional;12 Galicia;32 Ourense;Total;2023;304.563
Total Nacional;12 Galicia;36 Pontevedra;Total;2023;946.710
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;2023;6.871.903
Total Nacional;14 Murcia, Región de;30 Murcia;Total;2023;1.551.692
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;2023;672.155
Total Nacional;16 País Vasco;01 Araba/Álava;Total;2023;336.308
Total Nacional;16 País Vasco;20 Gipuzkoa;Total;2023;726.712
Total Nacional;16 País Vasco;48 Bizkaia;Total;2023;1.153.282
Total Nacional;17 Rioja, La;26 Rioja, La;Total;2023;322.282
Total Nacional;18 Ceuta;51 Ceuta;Total;2023;83.052
Total Nacional;19 Melilla;52 Melilla;Total;2023;85.493
